language	done	key_droid	key_apple	base_value	lang_value	base_note	lang_note
French_fr	no	android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	Tous les fonds recueillis à travers ses livres, DVDs et conférences sont reversés à des associations caritatives.		
French_fr	no	android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org est une organisation à but non lucratif qui, grâce aux courtes vidéos gratuites du Dr Greger, offre des informations mises à jours quotidiennement sur la recherche scientifique en nutrition. Il y a environ mille vidéos disponibles sur tous les aspects d’une alimentation saine et de nouvelles informations sont ajoutées tous les jours. Comme cette app, tout sur notre site internet est gratuit et sans publicité.		
German_de	no		apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	Michael Greger, M.D., FACLM, hat in jahrelanger Forschungsarbeit die mehr als tausend evidenzbasierten Videos auf seiner Website NutritionFacts.org erstellt und eine Liste der seiner Meinung nach wichtigsten Lebensmittel erstellt, die in eine gesunde tägliche Ernährung gehören.		
German_de	no		apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	Alle Erlöse aus seinen Büchern, DVDs und Vorträgen werden für wohltätige Zwecke gespendet.		
German_de	no		apple_store_description.5	NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day.	NutritionFacts.org ist ein nichtkommerzieller, gemeinnütziger, wissenschaftsbasierter öffentlicher Dienst von Dr. Greger, der täglich kostenlos die neuesten Erkenntnisse der Ernährungsforschung in Form von mundgerechten Videos bereitstellt. Er hat fast tausend Videos zu allen Aspekten der gesunden Ernährung, und täglich werden neue Videos und Artikel hochgeladen.		
German_de	no	store_screen.5	store_screen.5	Dr. Greger’s Daily Dozen - It’s your regular routine that determines your long-term health. Download today!	Dr. Greger's „Tägliches Dutzend“ wird Ihre regelmäßige Routine, die über Ihre langfristige Gesundheit entscheidet. Heute herunterladen!		
German_de	no	android_store_description.1		All proceeds from his books, DVDs, and speaking engagements are donated to charity.	Alle Erlöse aus seinen Büchern, DVDs und Vorträgen werden für wohltätige Zwecke gespendet.		
German_de	no	android_store_description.2		NutritionFacts.org is a non-commercial, non-profit, science-based public service provided by Dr. Greger, delivering free daily updates on the latest in nutrition research via bite-sized videos. He has more than two-thousand videos on every aspect of healthy eating, with new videos and articles uploaded every day. Like this app, everything on the website is both free of ads and free of charge.	NutritionFacts.org ist ein nichtkommerzieller, gemeinnütziger, wissenschaftsbasierter öffentlicher Dienst von Dr. Greger, der täglich kostenlos die neuesten Erkenntnisse der Ernährungsforschung in Form von mundgerechten Videos bereitstellt. Er hat fast tausend Videos zu allen Aspekten der gesunden Ernährung, und jeden Tag werden neue Videos und Artikel hochgeladen. Wie diese App ist auch alles auf der Website werbe- und gebührenfrei.		
Hebrew_he	no		apple_store_description.2	In the years of research required to create the more than two-thousand evidence-based videos on his website NutritionFacts.org, Michael Greger, M.D, FACLM, has arrived at a list of what he considers the most important foods to include in a healthy daily diet.	במשך השנים של מחקר שנדרשו ליצירת יותר מאלף סרטונים מבוססי ראיות באתר האינטרנט שלו NutritionFacts.org, מייקל גרגר, MD, FACLM, הגיע לרשימה של מה שהוא מחשיב כמזונות החשובים ביותר שיש לכלול בתזונה בריאה יומיומית.		
Hebrew_he	no		apple_store_description.4	All the proceeds from his books, DVDs, and speaking engagements are all donated to charity.	כל ההכנסות שלו מהספרים, מהתקליטורים ומההרצאות שלו נתרמות כולן לצדקה.		
