key_droid	key_apple	base_value	lang_value	base_note	lang_note
food_videos_other_fruits.8	dozeFruitsOther.Variety.topic.8	topics/grapefruit	topics/grapefruit	https://nutritionfacts.org/topics/grapefruit	
food_videos_other_fruits.9	dozeFruitsOther.Variety.topic.9				
food_videos_other_fruits.10	dozeFruitsOther.Variety.topic.10	topics/kiwifruit	topics/kiwifruit	https://nutritionfacts.org/topics/kiwifruit	
food_videos_other_fruits.11	dozeFruitsOther.Variety.topic.11	topics/lemons	topics/lemons	https://nutritionfacts.org/topics/lemons	
food_videos_other_fruits.12	dozeFruitsOther.Variety.topic.12	topics/limes	topics/limes	https://nutritionfacts.org/topics/limes	
food_videos_other_fruits.13	dozeFruitsOther.Variety.topic.13				
food_videos_other_fruits.14	dozeFruitsOther.Variety.topic.14	topics/mango	topics/mango	https://nutritionfacts.org/topics/mango	
food_videos_other_fruits.15	dozeFruitsOther.Variety.topic.15				
food_videos_other_fruits.16	dozeFruitsOther.Variety.topic.16	topics/oranges	topics/oranges	https://nutritionfacts.org/topics/oranges	
food_videos_other_fruits.17	dozeFruitsOther.Variety.topic.17				
food_videos_other_fruits.18	dozeFruitsOther.Variety.topic.18				
food_videos_other_fruits.19	dozeFruitsOther.Variety.topic.19	topics/peaches	topics/peaches	https://nutritionfacts.org/topics/peaches	
food_videos_other_fruits.20	dozeFruitsOther.Variety.topic.20	topics/pears	topics/pears	https://nutritionfacts.org/topics/pears	
food_videos_other_fruits.21	dozeFruitsOther.Variety.topic.21				
food_videos_other_fruits.22	dozeFruitsOther.Variety.topic.22	topics/plums	topics/plums	https://nutritionfacts.org/topics/plums	
food_videos_other_fruits.23	dozeFruitsOther.Variety.topic.23				
food_videos_other_fruits.24	dozeFruitsOther.Variety.topic.24	topics/pomegranates	topics/pomegranates	https://nutritionfacts.org/topics/pomegranates	
food_videos_other_fruits.25	dozeFruitsOther.Variety.topic.25	topics/prunes	topics/prunes	https://nutritionfacts.org/topics/prunes	
food_videos_other_fruits.26	dozeFruitsOther.Variety.topic.26				
food_videos_other_fruits.27	dozeFruitsOther.Variety.topic.27	topics/watermelon	topics/watermelon	https://nutritionfacts.org/topics/watermelon	
food_info_videos_greens	dozeGreens.topic	topics/greens	topics/greens	https://nutritionfacts.org/topics/greens	
food_videos_greens.0	dozeGreens.Variety.topic.0				
food_videos_greens.1	dozeGreens.Variety.topic.1	topics/beets	topics/beets	https://nutritionfacts.org/topics/beets	
food_videos_greens.2	dozeGreens.Variety.topic.2	topics/collard-greens	topics/collard-greens	https://nutritionfacts.org/topics/collard-greens	
food_videos_greens.3	dozeGreens.Variety.topic.3	topics/kale	topics/kale	https://nutritionfacts.org/topics/kale	
food_videos_greens.4	dozeGreens.Variety.topic.4				
food_videos_greens.5	dozeGreens.Variety.topic.5	topics/mustard-greens	topics/mustard-greens	https://nutritionfacts.org/topics/mustard-greens	
food_videos_greens.6	dozeGreens.Variety.topic.6				
food_videos_greens.7	dozeGreens.Variety.topic.7	topics/spinach	topics/spinach	https://nutritionfacts.org/topics/spinach	
food_videos_greens.8	dozeGreens.Variety.topic.8	topics/swiss-chard	topics/swiss-chard	https://nutritionfacts.org/topics/swiss-chard	
food_videos_greens.9	dozeGreens.Variety.topic.9				
food_info_videos_nuts	dozeNuts.topic	topics/nuts	topics/nuts	https://nutritionfacts.org/topics/nuts	
food_videos_nuts.0	dozeNuts.Variety.topic.0	topics/almonds	topics/almonds	https://nutritionfacts.org/topics/almonds	
food_videos_nuts.1	dozeNuts.Variety.topic.1	topics/brazil-nuts	topics/brazil-nuts	https://nutritionfacts.org/topics/brazil-nuts	
food_videos_nuts.2	dozeNuts.Variety.topic.2	topics/cashews	topics/cashews	https://nutritionfacts.org/topics/cashews	
food_videos_nuts.3	dozeNuts.Variety.topic.3	topics/chia-seeds	topics/chia-seeds	https://nutritionfacts.org/topics/chia-seeds	
food_videos_nuts.4	dozeNuts.Variety.topic.4	topics/hazelnuts	topics/hazelnuts	https://nutritionfacts.org/topics/hazelnuts	
food_videos_nuts.5	dozeNuts.Variety.topic.5				
food_videos_nuts.6	dozeNuts.Variety.topic.6	topics/macadamia-nuts	topics/macadamia-nuts	https://nutritionfacts.org/topics/macadamia-nuts	
food_videos_nuts.7	dozeNuts.Variety.topic.7	topics/peanuts	topics/peanuts	https://nutritionfacts.org/topics/peanuts	
food_videos_nuts.8	dozeNuts.Variety.topic.8	topics/pecans	topics/pecans	https://nutritionfacts.org/topics/pecans	
food_videos_nuts.9	dozeNuts.Variety.topic.9	topics/pistachios	topics/pistachios	https://nutritionfacts.org/topics/pistachios	
food_videos_nuts.10	dozeNuts.Variety.topic.10	topics/pumpkin-seeds	topics/pumpkin-seeds	https://nutritionfacts.org/topics/pumpkin-seeds	
food_videos_nuts.11	dozeNuts.Variety.topic.11	topics/sesame-seeds	topics/sesame-seeds	https://nutritionfacts.org/topics/sesame-seeds	
food_videos_nuts.12	dozeNuts.Variety.topic.12	topics/sunflower-seeds	topics/sunflower-seeds	https://nutritionfacts.org/topics/sunflower-seeds	
food_videos_nuts.13	dozeNuts.Variety.topic.13	topics/walnuts	topics/walnuts	https://nutritionfacts.org/topics/walnuts	
food_info_videos_spices	dozeSpices.topic	topics/spices	topics/spices	https://nutritionfacts.org/topics/spices	
food_videos_spices.0	dozeSpices.Variety.topic.0	topics/allspice	topics/allspice	https://nutritionfacts.org/topics/allspice	
food_videos_spices.1	dozeSpices.Variety.topic.1	topics/barberries	topics/barberries	https://nutritionfacts.org/topics/barberries	
food_videos_spices.2	dozeSpices.Variety.topic.2	topics/basil	topics/basil	https://nutritionfacts.org/topics/basil	
food_videos_spices.3	dozeSpices.Variety.topic.3				
food_videos_spices.4	dozeSpices.Variety.topic.4				
food_videos_spices.5	dozeSpices.Variety.topic.5				
food_videos_spices.6	dozeSpices.Variety.topic.6	topics/cilantro	topics/cilantro	https://nutritionfacts.org/topics/cilantro	
food_videos_spices.7	dozeSpices.Variety.topic.7	topics/cinnamon	topics/cinnamon	https://nutritionfacts.org/topics/cinnamon	
food_videos_spices.8	dozeSpices.Variety.topic.8	topics/cloves	topics/cloves	https://nutritionfacts.org/topics/cloves	
food_videos_spices.9	dozeSpices.Variety.topic.9				
food_videos_spices.10	dozeSpices.Variety.topic.10	topics/cumin	topics/cumin	https://nutritionfacts.org/topics/cumin	
food_videos_spices.11	dozeSpices.Variety.topic.11	topics/curry-powder	topics/curry-powder	https://nutritionfacts.org/topics/curry-powder	
food_videos_spices.12	dozeSpices.Variety.topic.12				
food_videos_spices.13	dozeSpices.Variety.topic.13	topics/fenugreek	topics/fenugreek	https://nutritionfacts.org/topics/fenugreek	
food_videos_spices.14	dozeSpices.Variety.topic.14	topics/garlic	topics/garlic	https://nutritionfacts.org/topics/garlic	
food_videos_spices.15	dozeSpices.Variety.topic.15	topics/ginger	topics/ginger	https://nutritionfacts.org/topics/ginger	
food_videos_spices.16	dozeSpices.Variety.topic.16				
food_videos_spices.17	dozeSpices.Variety.topic.17				
food_videos_spices.18	dozeSpices.Variety.topic.18	topics/marjoram	topics/marjoram	https://nutritionfacts.org/topics/marjoram	
food_videos_spices.19	dozeSpices.Variety.topic.19	topics/mustard-powder	topics/mustard-powder	https://nutritionfacts.org/topics/mustard-powder	
food_videos_spices.20	dozeSpices.Variety.topic.20	topics/nutmeg	topics/nutmeg	https://nutritionfacts.org/topics/nutmeg	
