key_droid	key_apple	base_value	lang_value	base_comment
food_info_types_exercise[32]	dozeExerciseVarietyText[32]	Cross-country skiing		  
food_info_types_exercise[33]	dozeExerciseVarietyText[33]	Football		  
food_info_types_exercise[34]	dozeExerciseVarietyText[34]	Hockey		  
food_info_types_exercise[35]	dozeExerciseVarietyText[35]	Jogging		  
food_info_types_exercise[36]	dozeExerciseVarietyText[36]	Jumping jacks		  
food_info_types_exercise[37]	dozeExerciseVarietyText[37]	Jumping rope		  
food_info_types_exercise[38]	dozeExerciseVarietyText[38]	Lacrosse		  
food_info_types_exercise[39]	dozeExerciseVarietyText[39]	Push-ups		  
food_info_types_exercise[40]	dozeExerciseVarietyText[40]	Pull-ups		  
food_info_types_exercise[41]	dozeExerciseVarietyText[41]	Racquetball		  
food_info_types_exercise[42]	dozeExerciseVarietyText[42]	Rock climbing		  
food_info_types_exercise[43]	dozeExerciseVarietyText[43]	Rugby		  
food_info_types_exercise[44]	dozeExerciseVarietyText[44]	Running		  
food_info_types_exercise[45]	dozeExerciseVarietyText[45]	Scuba diving		  
food_info_types_exercise[46]	dozeExerciseVarietyText[46]	Tennis (singles)		  
food_info_types_exercise[47]	dozeExerciseVarietyText[47]	Soccer		  
food_info_types_exercise[48]	dozeExerciseVarietyText[48]	Speed skating		  
food_info_types_exercise[49]	dozeExerciseVarietyText[49]	Squash		  
food_info_types_exercise[50]	dozeExerciseVarietyText[50]	Step aerobics		  
food_info_types_exercise[51]	dozeExerciseVarietyText[51]	Swimming laps		  
food_info_types_exercise[52]	dozeExerciseVarietyText[52]	Walking briskly uphill		  
food_info_types_exercise[53]	dozeExerciseVarietyText[53]	Water jogging		  
food_info_types_cruciferous_vegetables[0]	dozeVegetablesCruciferousVarietyText[0]	Arugula	Bledes xineses	  
food_info_types_cruciferous_vegetables[1]	dozeVegetablesCruciferousVarietyText[1]	Bok choy	Bròquil (inclòs el Romanesco)	  
food_info_types_cruciferous_vegetables[2]	dozeVegetablesCruciferousVarietyText[2]	Broccoli (incl. Romanesco)	Col (verda, llombarda i de Milà)	  
food_info_types_cruciferous_vegetables[3]	dozeVegetablesCruciferousVarietyText[3]	Brussels sprouts	Col farratgera	  
food_info_types_cruciferous_vegetables[4]	dozeVegetablesCruciferousVarietyText[4]	Cabbage (green, red and savoy)	Col kale (negra, verda i vermella)	  
food_info_types_cruciferous_vegetables[5]	dozeVegetablesCruciferousVarietyText[5]	Cauliflower (white, green, orange and purple)	Cols de Brussel·les	  
food_info_types_cruciferous_vegetables[6]	dozeVegetablesCruciferousVarietyText[6]	Collard greens	Coliflor (blanca, verda, taronja i morada)	  
food_info_types_cruciferous_vegetables[7]	dozeVegetablesCruciferousVarietyText[7]	Horseradish	Colrave (verd i morat)	  
food_info_types_cruciferous_vegetables[8]	dozeVegetablesCruciferousVarietyText[8]	Kale (black, green, and red)	Créixens	  
food_info_types_cruciferous_vegetables[9]	dozeVegetablesCruciferousVarietyText[9]	Kohlrabi (green and purple)	Mostassa bruna	  
food_info_types_cruciferous_vegetables[10]	dozeVegetablesCruciferousVarietyText[10]	Mustard greens	Naps	  
food_info_types_cruciferous_vegetables[11]	dozeVegetablesCruciferousVarietyText[11]	Radishes	Raves	  
food_info_types_cruciferous_vegetables[12]	dozeVegetablesCruciferousVarietyText[12]	Turnip greens	Rave boscà	  
food_info_types_cruciferous_vegetables[13]	dozeVegetablesCruciferousVarietyText[13]	Watercress	Ruca	  
food_info_types_beverages[0]	dozeBeveragesVarietyText[0]	Black tea	Aigua	  
food_info_types_beverages[1]	dozeBeveragesVarietyText[1]	Chai tea	Cafè	  
food_info_types_beverages[2]	dozeBeveragesVarietyText[2]	Vanilla chamomile tea	Xocolata desfeta	  
food_info_types_beverages[3]	dozeBeveragesVarietyText[3]	Coffee	Infusió d'hibisc	  
food_info_types_beverages[4]	dozeBeveragesVarietyText[4]	Earl grey tea	Infusió de gessamí	  
food_info_types_beverages[5]	dozeBeveragesVarietyText[5]	Green tea	Infusió de menta	  
food_info_types_beverages[6]	dozeBeveragesVarietyText[6]	Hibiscus tea	Infusió de tarongina	  
food_info_types_beverages[7]	dozeBeveragesVarietyText[7]	Hot chocolate	Roibos	  
food_info_types_beverages[8]	dozeBeveragesVarietyText[8]	Jasmine tea	Te blanc	  
food_info_types_beverages[9]	dozeBeveragesVarietyText[9]	Lemon balm tea	Te chai	  
food_info_types_beverages[10]	dozeBeveragesVarietyText[10]	Matcha tea	Te de vanilla i camamilla		  
food_info_types_beverages[11]	dozeBeveragesVarietyText[11]	Almond blossom oolong tea	Te Earl Grey	  
food_info_types_beverages[12]	dozeBeveragesVarietyText[12]	Peppermint tea	Te matxa	  
food_info_types_beverages[13]	dozeBeveragesVarietyText[13]	Rooibos tea	Te negre	  
food_info_types_beverages[14]	dozeBeveragesVarietyText[14]	Water	Te verd	  
food_info_types_beverages[15]	dozeBeveragesVarietyText[15]	White tea	Te wulong flo d'ametller	  
food_info_types_flaxseeds[0]	dozeFlaxseedsVarietyText[0]	Brown flaxseeds	Llavors de lli marrons	  
food_info_types_flaxseeds[1]	dozeFlaxseedsVarietyText[1]	Golden flaxseeds	Llavors de lli daurades	  
food_info_types_whole_grains[0]	dozeWholeGrainsVarietyText[0]	Barley	Civada o avena	  
food_info_types_whole_grains[1]	dozeWholeGrainsVarietyText[1]	Buckwheat	Crispetes	  
food_info_types_whole_grains[2]	dozeWholeGrainsVarietyText[2]	Millet	Fajol	  
food_info_types_whole_grains[3]	dozeWholeGrainsVarietyText[3]	Oats	Mill	  
food_info_types_whole_grains[4]	dozeWholeGrainsVarietyText[4]	Popcorn	Ordi	  
food_info_types_whole_grains[5]	dozeWholeGrainsVarietyText[5]	Quinoa	Pasta integral	  
food_info_types_whole_grains[6]	dozeWholeGrainsVarietyText[6]	Rye	Quinoa	  
food_info_types_whole_grains[7]	dozeWholeGrainsVarietyText[7]	Teff	Sègol	  
food_info_types_whole_grains[8]	dozeWholeGrainsVarietyText[8]	Whole-wheat pasta	Tef	  
food_info_types_other_fruits[0]	dozeFruitsOtherVarietyText[0]	Apples	Albercoc sec	  
food_info_types_other_fruits[1]	dozeFruitsOtherVarietyText[1]	Dried apricots	Alvocats	  
food_info_types_other_fruits[2]	dozeFruitsOtherVarietyText[2]	Avocados	Clementina	  
food_info_types_other_fruits[3]	dozeFruitsOtherVarietyText[3]	Bananas	Dàtils	  
food_info_types_other_fruits[4]	dozeFruitsOtherVarietyText[4]	Cantaloupe	Figues seques	  
food_info_types_other_fruits[5]	dozeFruitsOtherVarietyText[5]	Clementines	Litxi	  
food_info_types_other_fruits[6]	dozeFruitsOtherVarietyText[6]	Dates	Llimones	  
food_info_types_other_fruits[7]	dozeFruitsOtherVarietyText[7]	Dried figs	Llimes	  
food_info_types_other_fruits[8]	dozeFruitsOtherVarietyText[8]	Grapefruit	Magranes	  
food_info_types_other_fruits[9]	dozeFruitsOtherVarietyText[9]	Honeydew	Mandarines	  
food_info_types_other_fruits[10]	dozeFruitsOtherVarietyText[10]	Kiwifruit	Mangos	  
food_info_types_other_fruits[11]	dozeFruitsOtherVarietyText[11]	Lemons	Maracujà	  
food_info_types_other_fruits[12]	dozeFruitsOtherVarietyText[12]	Limes	Meló	  
food_info_types_other_fruits[13]	dozeFruitsOtherVarietyText[13]	Lychees	Meló varietat cantalup	  
food_info_types_other_fruits[14]	dozeFruitsOtherVarietyText[14]	Mangos	Meló verd varietat honeydew	  
food_info_types_other_fruits[15]	dozeFruitsOtherVarietyText[15]	Nectarines	Nectarines	  
food_info_types_other_fruits[16]	dozeFruitsOtherVarietyText[16]	Oranges	Papaies	  
food_info_types_other_fruits[17]	dozeFruitsOtherVarietyText[17]	Papaya	Peres	  
food_info_types_other_fruits[18]	dozeFruitsOtherVarietyText[18]	Passion fruit	Pinya	  
food_info_types_other_fruits[19]	dozeFruitsOtherVarietyText[19]	Peaches	Plàtans	  
food_info_types_other_fruits[20]	dozeFruitsOtherVarietyText[20]	Pears	Pluots	  
food_info_types_other_fruits[21]	dozeFruitsOtherVarietyText[21]	Pineapple	Pomelos	  
food_info_types_other_fruits[22]	dozeFruitsOtherVarietyText[22]	Plums (especially black plums)	Pomes	  
food_info_types_other_fruits[23]	dozeFruitsOtherVarietyText[23]	Pluots	Préssecs	  
food_info_types_other_fruits[24]	dozeFruitsOtherVarietyText[24]	Pomegranates	Prunes (especialment les negres)	  
food_info_types_other_fruits[25]	dozeFruitsOtherVarietyText[25]	Prunes	Prunes de confitar	  
food_info_types_other_fruits[26]	dozeFruitsOtherVarietyText[26]	Tangerines	Taronges	  
food_info_types_other_fruits[27]	dozeFruitsOtherVarietyText[27]	Watermelon	Kiwis	  
food_info_types_other_vegetables[0]	dozeVegetablesOtherVarietyText[0]	Artichokes		  
food_info_types_other_vegetables[1]	dozeVegetablesOtherVarietyText[1]	Asparagus		  
food_info_types_other_vegetables[2]	dozeVegetablesOtherVarietyText[2]	Beets		  
food_info_types_other_vegetables[3]	dozeVegetablesOtherVarietyText[3]	Bell peppers		  
food_info_types_other_vegetables[4]	dozeVegetablesOtherVarietyText[4]	Carrots		  
food_info_types_other_vegetables[5]	dozeVegetablesOtherVarietyText[5]	Corn		  
food_info_types_other_vegetables[6]	dozeVegetablesOtherVarietyText[6]	Garlic		  
food_info_types_other_vegetables[7]	dozeVegetablesOtherVarietyText[7]	Mushrooms (button, oyster, portobello, and shiitake)		  
food_info_types_other_vegetables[8]	dozeVegetablesOtherVarietyText[8]	Okra		  
food_info_types_other_vegetables[9]	dozeVegetablesOtherVarietyText[9]	Onions		  
food_info_types_other_vegetables[10]	dozeVegetablesOtherVarietyText[10]	Purple potatoes		  
food_info_types_other_vegetables[11]	dozeVegetablesOtherVarietyText[11]	Pumpkin		  
food_info_types_other_vegetables[12]	dozeVegetablesOtherVarietyText[12]	Sea vegetables (arame, dulse, and nori)		  
food_info_types_other_vegetables[13]	dozeVegetablesOtherVarietyText[13]	Snap peas		  
food_info_types_other_vegetables[14]	dozeVegetablesOtherVarietyText[14]	Squash (delicata, summer, and spaghetti squash varieties)		  
food_info_types_other_vegetables[15]	dozeVegetablesOtherVarietyText[15]	Sweet potatoes/yams		  
food_info_types_other_vegetables[16]	dozeVegetablesOtherVarietyText[16]	Tomatoes		  
food_info_types_other_vegetables[17]	dozeVegetablesOtherVarietyText[17]	Zucchini		  
food_info_types_greens[0]	dozeGreensVarietyText[0]	Arugula	Agrella	  
food_info_types_greens[1]	dozeGreensVarietyText[1]	Beet greens	Bledes	  
