key_droid	key_apple	base_value	lang_value	base_comment
food_info_types_exercise[21]	dozeExerciseVarietyText[21]	Tennis (doubles)	Tennis (doubles)	  
food_info_types_exercise[22]	dozeExerciseVarietyText[22]	Treading water	Treading water	  
food_info_types_exercise[23]	dozeExerciseVarietyText[23]	Walking briskly (4 mph)	Walking briskly (4 mph)	  
food_info_types_exercise[24]	dozeExerciseVarietyText[24]	Water aerobics	Water aerobics	  
food_info_types_exercise[25]	dozeExerciseVarietyText[25]	Waterskiing	Waterskiing	  
food_info_types_exercise[26]	dozeExerciseVarietyText[26]	Yard work	Yard work	  
food_info_types_exercise[27]	dozeExerciseVarietyText[27]	Yoga	Yoga	  
food_info_types_exercise[28]	dozeExerciseVarietyText[28]	Backpacking	Backpacking	  
food_info_types_exercise[29]	dozeExerciseVarietyText[29]	Basketball	Basketball	  
food_info_types_exercise[30]	dozeExerciseVarietyText[30]	Bicycling uphill	Bicycling uphill	  
food_info_types_exercise[31]	dozeExerciseVarietyText[31]	Circuit weight training	Circuit weight training	  
food_info_types_exercise[32]	dozeExerciseVarietyText[32]	Cross-country skiing	Cross-country skiing	  
food_info_types_exercise[33]	dozeExerciseVarietyText[33]	Football	Football	  
food_info_types_exercise[34]	dozeExerciseVarietyText[34]	Hockey	Hockey	  
food_info_types_exercise[35]	dozeExerciseVarietyText[35]	Jogging	Jogging	  
food_info_types_exercise[36]	dozeExerciseVarietyText[36]	Jumping jacks	Jumping jacks	  
food_info_types_exercise[37]	dozeExerciseVarietyText[37]	Jumping rope	Jumping rope	  
food_info_types_exercise[38]	dozeExerciseVarietyText[38]	Lacrosse	Lacrosse	  
food_info_types_exercise[39]	dozeExerciseVarietyText[39]	Push-ups	Push-ups	  
food_info_types_exercise[40]	dozeExerciseVarietyText[40]	Pull-ups	Pull-ups	  
food_info_types_exercise[41]	dozeExerciseVarietyText[41]	Racquetball	Racquetball	  
food_info_types_exercise[42]	dozeExerciseVarietyText[42]	Rock climbing	Rock climbing	  
food_info_types_exercise[43]	dozeExerciseVarietyText[43]	Rugby	Rugby	  
food_info_types_exercise[44]	dozeExerciseVarietyText[44]	Running	Running	  
food_info_types_exercise[45]	dozeExerciseVarietyText[45]	Scuba diving	Scuba diving	  
food_info_types_exercise[46]	dozeExerciseVarietyText[46]	Tennis (singles)	Tennis (singles)	  
food_info_types_exercise[47]	dozeExerciseVarietyText[47]	Soccer	Soccer	  
