key_droid	key_apple	base_value	lang_value	base_comment	lang_url
food_videos_spices[2]		topics/basil	topics/basil		https://nutritionfacts.org/topics/basil
food_videos_spices[3]					
food_videos_spices[4]		topics/cardamom	topics/cardamom		https://nutritionfacts.org/topics/cardamom
food_videos_spices[5]					
food_videos_spices[6]		topics/cilantro	topics/cilantro		https://nutritionfacts.org/topics/cilantro
food_videos_spices[7]		topics/cinnamon	topics/cinnamon		https://nutritionfacts.org/topics/cinnamon
food_videos_spices[8]		topics/cloves	topics/cloves		https://nutritionfacts.org/topics/cloves
food_videos_spices[9]		topics/coriander	topics/coriander		https://nutritionfacts.org/topics/coriander
food_videos_spices[10]		topics/cumin	topics/cumin		https://nutritionfacts.org/topics/cumin
food_videos_spices[11]		topics/curry-powder	topics/curry-powder		https://nutritionfacts.org/topics/curry-powder
food_videos_spices[12]					
food_videos_spices[13]		topics/fenugreek	topics/fenugreek		https://nutritionfacts.org/topics/fenugreek
food_videos_spices[14]		topics/garlic	topics/garlic		https://nutritionfacts.org/topics/garlic
food_videos_spices[15]		topics/ginger	topics/ginger		https://nutritionfacts.org/topics/ginger
food_videos_spices[16]					
food_videos_spices[17]		topics/lemongrass	topics/lemongrass		https://nutritionfacts.org/topics/lemongrass
food_videos_spices[18]		topics/marjoram	topics/marjoram		https://nutritionfacts.org/topics/marjoram
food_videos_spices[19]		topics/mustard-powder	topics/mustard-powder		https://nutritionfacts.org/topics/mustard-powder
food_videos_spices[20]		topics/nutmeg	topics/nutmeg		https://nutritionfacts.org/topics/nutmeg
food_videos_spices[21]		topics/oregano	topics/oregano		https://nutritionfacts.org/topics/oregano
food_videos_spices[22]		topics/paprika	topics/paprika		https://nutritionfacts.org/topics/paprika
food_videos_spices[23]		topics/parsley	topics/parsley		https://nutritionfacts.org/topics/parsley
food_videos_spices[24]		topics/pepper	topics/pepper		https://nutritionfacts.org/topics/pepper
food_videos_spices[25]		topics/peppermint	topics/peppermint		https://nutritionfacts.org/topics/peppermint
food_videos_spices[26]		topics/rosemary	topics/rosemary		https://nutritionfacts.org/topics/rosemary
food_videos_spices[27]		topics/saffron	topics/saffron		https://nutritionfacts.org/topics/saffron
food_videos_spices[28]					
food_videos_spices[29]		topics/thyme	topics/thyme		https://nutritionfacts.org/topics/thyme
food_videos_spices[30]		topics/turmeric	topics/turmeric		https://nutritionfacts.org/topics/turmeric
food_videos_spices[31]					
					
food_videos_whole_grains[0]		topics/barley	topics/barley		https://nutritionfacts.org/topics/barley
food_videos_whole_grains[1]		topics/buckwheat	topics/buckwheat		https://nutritionfacts.org/topics/buckwheat
food_videos_whole_grains[2]		topics/millet	topics/millet		https://nutritionfacts.org/topics/millet
food_videos_whole_grains[3]		topics/oats	topics/oats		https://nutritionfacts.org/topics/oats
food_videos_whole_grains[4]		topics/popcorn	topics/popcorn		https://nutritionfacts.org/topics/popcorn
food_videos_whole_grains[5]		topics/quinoa	topics/quinoa		https://nutritionfacts.org/topics/quinoa
food_videos_whole_grains[6]		topics/rye	topics/rye		https://nutritionfacts.org/topics/rye
food_videos_whole_grains[7]		topics/teff	topics/teff		https://nutritionfacts.org/topics/teff
food_videos_whole_grains[8]		topics/pasta	topics/pasta		https://nutritionfacts.org/topics/pasta
					
food_videos_beverages[0]		topics/black-tea	topics/black-tea		https://nutritionfacts.org/topics/black-tea
food_videos_beverages[1]		topics/chai-tea	topics/chai-tea		https://nutritionfacts.org/topics/chai-tea
food_videos_beverages[2]		topics/chamomile-tea	topics/chamomile-tea		https://nutritionfacts.org/topics/chamomile-tea
food_videos_beverages[3]		topics/coffee	topics/coffee		https://nutritionfacts.org/topics/coffee
food_videos_beverages[4]		topics/earl-grey-tea	topics/earl-grey-tea		https://nutritionfacts.org/topics/earl-grey-tea
food_videos_beverages[5]		topics/green-tea	topics/green-tea		https://nutritionfacts.org/topics/green-tea
food_videos_beverages[6]		topics/hibiscus-tea	topics/hibiscus-tea		https://nutritionfacts.org/topics/hibiscus-tea
food_videos_beverages[7]					
food_videos_beverages[8]		topics/jasmine-tea	topics/jasmine-tea		https://nutritionfacts.org/topics/jasmine-tea
food_videos_beverages[9]		topics/lemon-balm	topics/lemon-balm		https://nutritionfacts.org/topics/lemon-balm
food_videos_beverages[10]		topics/matcha	topics/matcha		https://nutritionfacts.org/topics/matcha
food_videos_beverages[11]		topics/oolong-tea	topics/oolong-tea		https://nutritionfacts.org/topics/oolong-tea
food_videos_beverages[12]					
food_videos_beverages[13]		topics/rooibos-tea	topics/rooibos-tea		https://nutritionfacts.org/topics/rooibos-tea
food_videos_beverages[14]		topics/water	topics/water		https://nutritionfacts.org/topics/water
food_videos_beverages[15]		topics/white-tea	topics/white-tea		https://nutritionfacts.org/topics/white-tea
